route_id,vehicletype_id,annualmovements_load,annualmovements_empty,annualtonnes
37521,103,0.0,0.5278,0.0
37521,104,5.611013725490197,0.5311588235294118,53.4944
37521,105,52.997906896551726,2.8576758620689655,1547.1572
37578,102,77147.71771034483,38573.85870344828,226843.2031
37578,104,19.878413725490198,9.939129411764705,205.583
37650,104,1638.467280392157,62.60300784313726,27109.9922
37785,102,3.1206620689655176,2.3113655172413794,5.9681
37785,103,0.0,5.648,0.0
37785,104,7.74416862745098,0.7314470588235295,78.6691
37785,105,72.5607,6.482910344827586,2060.9153
37804,102,2.4482206896551726,0.27583448275862066,5.2528
37804,103,0.4056627906976744,0.018006976744186047,2.9971
37804,104,4.704217647058824,0.17349019607843139,46.3204
37804,105,57.543931034482746,53.111713793103455,1552.0918
37859,104,0.06800196078431373,0.002323529411764706,0.5241
37859,105,3.386137931034483,0.0,118.7383
37860,104,0.1581549019607843,0.0,1.2852
37860,105,3.487568965517241,0.0,103.382
65755,104,44.866268627450985,0.041203921568627455,490.7832
65771,104,294.1836078431372,0.0015490196078431372,4795.6836
65814,104,580.2599568627452,1120.8103313725492,8311.1436
65961,104,475.3512098039216,141.81475882352942,7737.0576
65978,104,406.28197450980383,1087.2086882352942,6506.644
66021,104,0.01208235294117647,0.0,0.089
66022,104,1.018635294117647,0.0,17.139
124314,102,21.988468965517242,2.1523586206896557,54.1094
124314,103,6.819181395348838,0.011937209302325582,44.8019
124314,104,14.044960784313727,2.730766666666667,142.669
124314,105,331.5427103448276,78.87774827586206,7990.7993
124339,102,3.6541241379310354,66.01547586206897,10.2982
124339,103,8.812290697674417,11.043132558139535,39.3797
124339,104,11.576133333333335,3.782705882352942,116.8639
124339,105,816.3671068965517,46.18110344827586,27427.5391
124394,102,5.12008275862069,0.3119448275862069,7.6321
124394,103,11.427348837209303,0.0,70.245
124394,104,7.31400588235294,1.1616098039215685,75.083
124394,105,64.82948620689655,14.214124137931034,1720.8085
124446,104,569.630894117647,47.53507450980392,9217.6455
124573,102,70850.54937931035,35425.274841379316,204545.0781
124573,103,831.5581395348837,415.77906976744185,6076.0938
124573,104,27.08011568627451,13.539980392156863,312.5993
124595,102,226.59028965517243,25.023558620689656,577.7499
124595,103,229.1715558139535,27.422602325581394,1617.759
124595,104,13.311654901960782,28.752901960784317,137.2172
124595,105,2857.9599965517245,297.7190965517242,83685.7969
124657,102,0.0,0.0354,0.0
124657,104,0.1313568627450979,0.007125490196078432,1.1939
124658,102,0.0,0.1381,0.0
124658,104,0.42241764705882356,0.015800000000000005,3.9235
124658,105,78.51144827586207,0.0,2886.5435
133144,102,53.74524137931035,0.000303448275862069,91.5902
133144,103,0.061709302325581396,0.13555813953488374,0.4298
133144,104,10.501113725490198,1.7920607843137257,107.419
133144,105,58.64270344827587,7.215637931034483,1782.0588
133168,102,21.53511724137931,2.1939310344827585,55.8046
133168,103,0.0,2.7624,0.0
133168,104,17.25545882352941,4.496029411764705,174.3947
133168,105,119.58093793103448,267.6617,3558.9231
133221,102,2.479172413793104,0.24488275862068967,3.9419
133221,103,0.17926046511627908,0.24440930232558142,1.3093
133221,104,1.7355215686274506,3.1421862745098044,15.8132
133221,105,104.90125172413794,5.754393103448276,2844.5596
133273,104,1452.862511764706,40.628150980392164,25035.498
133400,102,51.45511724137932,200.15873103448277,99.8868
133400,103,56.38813953488373,200.20601860465115,264.3733
133400,104,35.59073921568628,6.473817647058824,369.6845
133400,105,612.1875827586209,2543.4915103448275,19743.4004
133423,102,29562.9739862069,14781.487144827588,83332.1563
133423,103,165.90697674418607,82.95348837209303,1169.7487
133423,104,17.407727450980392,8.703786274509804,190.4569
133489,102,0.22940689655172417,0.0,0.2813
133489,104,0.06258039215686274,0.0,0.4873
133489,105,3.6596827586206895,0.0,101.7634
133490,104,0.2630235294117647,0.0,2.1812
133490,105,59.290586206896556,0.0,2155.4973
158852,104,0.16435098039215687,0.0192078431372549,1.4328
158852,105,1.2902793103448278,0.0,36.993
158864,104,0.05468039215686274,0.0,0.4201
158864,105,1.2328655172413794,0.1147,38.0486
158894,104,0.022460784313725494,0.04786470588235295,0.1631
158894,105,0.0,2.654,0.0
158932,104,0.0,0.0078,0.0
159014,102,0.10742068965517243,0.0,0.1324
159014,104,0.0704803921568626,0.06800196078431373,0.5685
159022,102,0.0,0.0756,0.0
159022,104,0.0,0.0404,0.0
159022,105,0.0,2.8684,0.0
159086,101,2.2735,1.1368,2.2386
159086,102,1922.6886344827587,961.3441655172414,5006.3862
159086,104,8.077672549019608,4.038913725490197,85.4428
159088,102,24.05009655172414,0.03186206896551725,55.1776
159088,103,0.0,4.2851,0.0
159088,104,7.346070588235294,0.6233254901960784,75.8097
159088,105,0.0,0.3024,0.0
159232,102,0.1368551724137931,0.013048275862068965,0.1686
159232,104,0.20354117647058823,0.12376666666666668,1.6315
159232,105,0.0,28.32,0.0
159250,104,0.04507647058823514,0.19083921568627452,0.338
159301,104,0.0,0.1021,0.0
159301,105,0.0,2.7335,0.0
159351,104,0.0,0.6576,0.0
159467,102,0.4190620689655173,0.0,0.497
159467,104,0.1584647058823528,0.27975294117647065,1.2364
159467,105,0.0,61.536,0.0
159485,104,0.0,0.1698,0.0
159485,105,0.0,46.471,0.0
159557,102,0.3180137931034483,23.763944827586204,0.4352
159557,103,8.669853488372093,0.0,41.7394
159557,104,6.233564705882354,1.7358313725490198,62.6858
159557,105,0.38582068965517247,0.0,8.0897
159559,102,6894.183393103449,3447.0916965517245,19445.2832
159559,103,24.398644186046514,12.199423255813954,109.5964
159559,104,13.477245098039218,6.7387,155.1966
