cell_id	lat	lon	municipality_id	municipality_name	km2	employees	companies	truck_fq_weight	truck_fq_municipality	cell_height_lat	cell_width_lon
6290006622000	59.71588003800013	17.29342009931423	0381	Enköping	0.0	0.0		10.0	44344.899999999994	0.009	0.018782797145623278
6160006611000	59.62099800952136	17.056427323437656	0381	Enköping	0.03	450.0	3.0	453.0	44344.899999999994	0.009	0.018722234558494793
6160006612000	59.62997199948137	17.05697623525663	0381	Enköping	0.11	435.0	22.7	1859.0	44344.899999999994	0.009	0.01872796259843615
6160006613000	59.638945973979105	17.057525490486864	0381	Enköping	0.04	160.0	12.649999999999999	1726.5	44344.899999999994	0.009	0.018733690628508035
6160006614000	59.64791993301392	17.058075089430094	0381	Enköping	0.06	75.0	12.0	870.0	44344.899999999994	0.009	0.018739418648710034
6200006613000	59.63781408029125	17.12841865354234	0381	Enköping	0.03	13.95	0.42	143.7	44344.899999999994	0.009	0.01873296814806374
6190006614000	59.647074302124395	17.111259664906942	0381	Enköping	0.2	468.72	30.299999999999997	4990.2	44344.899999999994	0.009	0.018738878887964546
6140006513000	58.74200444913874	16.969720169543393	0480	Nyköping	0.060000000000000005	179.17000000000002	8.33	1875.0	77523.14	0.009	0.018161178635265247
6070006514000	58.75277128961187	16.849324146298645	0480	Nyköping	0.01	0.0		10.0	77523.14	0.009	0.01816805104013166
6140006514000	58.75098013911982	16.970227947466928	0480	Nyköping	0.11	257.96000000000004	22.23	2305.19	77523.14	0.009	0.018166907760319092
6150006512000	58.73276380142062	16.986474569100945	0480	Nyköping	0.0	0.0	0.0	0.0	77523.14	0.009	0.018155280389395876
6150006513000	58.74173941364039	16.986986478512396	0480	Nyköping	0.45	1053.87	76.62	11304.9	77523.14	0.009	0.018161009464815178
6150006514000	58.75071501049126	16.987498700439154	0480	Nyköping	0.36	1086.26	62.98	7021.74	77523.14	0.009	0.018166738530424616
6150006515000	58.75969059197295	16.98801123514779	0480	Nyköping	0.21	1151.61	7.45	1159.06	77523.14	0.009	0.018172467586223998
6160006509000	58.70556990090001	17.00218896183763	0480	Nyköping	0.0	0.0		10.0	77523.14	0.009	0.018137922697996908
6160006513000	58.74147206670766	17.004252474966144	0480	Nyköping	0.43	1176.84	75.89	12527.3	77523.14	0.009	0.01816083881899145
6170006510000	58.714276091157814	17.01995673527968	0480	Nyköping	0.41000000000000003	983.8299999999999	36.18	9671.099999999999	77523.14	0.009	0.018143479803114693
6170006511000	58.723251545712465	17.020476891444467	0480	Nyköping	0.02	40.0	0.0	41.0	77523.14	0.009	0.018149208777897368
6170006513000	58.741202408426176	17.021518156199026	0480	Nyköping	0.27	994.29	56.49	10507.8	77523.14	0.009	0.01816066669784871
6180006512000	58.731955110771395	17.038258287809164	0480	Nyköping	0.01	10.71	0.93	116.4	77523.14	0.009	0.018154764207367637
6180006513000	58.74093043888235	17.03878351950574	0480	Nyköping	0.2	139.29	13.07	1533.6	77523.14	0.009	0.018160493101442115
6180006514000	58.74990575147829	17.039309071833532	0480	Nyköping	0.01	0.0		10.0	77523.14	0.009	0.018166221985613455
6370006516000	58.76224397733525	17.368592293266232	0480	Nyköping	0.25	113.64	1.99	1156.3	77523.14	0.009	0.01817409739564056
6370006517000	58.77121727073149	17.369203329544955	0480	Nyköping	0.28	127.27	2.23	1295.0	77523.14	0.009	0.018179824990969748
6380006516000	58.76192546636482	17.38586405041067	0480	Nyköping	0.24	109.09	1.91	1110.0	77523.14	0.009	0.018173894092141388
6380006517000	58.770898647828666	17.386479532088575	0480	Nyköping	0.11	50.0	0.88	508.8	77523.14	0.009	0.018179621616024853
6160006511000	58.72352101463669	17.003220089033526	0480	Nyköping	0.01	22.06	1.21	232.7	77523.14	0.009	0.01814938077817459
6040006515000	58.76248079540748	16.797967417412615	0480	Nyköping	0.01			20.0	77523.14	0.009	0.01817424855508943
6110006516000	58.76971353416137	16.919403633717188	0480	Nyköping	0.07	10.07	0.28	51.75	77523.14	0.009	0.01817886516561076
6060006513000	58.744041511455606	16.831578772015384	0480	Nyköping	0.0	0.0		10.0	77523.14	0.009	0.01816247887901034
