year	segment_id	latitude	longitude	is_in_sweden	placement	kW_installed	kW_used	kW_unused	kWPerRoadKm_installed	kWPerRoadKm_used	kWPerRoadKm_unused	kWh_per_year	euro_per_kWh	soc_on_arrival	lane_km
2025-01-01	3449881	57.628755	15.3441	True	Destination	426.0935	426.0935	0	0	0	0	79414.64	0.18841492	0.6358917	0
2025-01-01	3728979	59.598701	16.593154	True	Depot	12.754642	12.754642	0	0	0	0	352.88885	0.18636811	0.5	0
2025-01-01	3665950	59.017598	16.314615	True	Depot	81.96324	81.96324	0	0	0	0	150780.84	0.110357314	0.5	0
2025-01-01	3846065	61.306025	17.083847	True	Depot	142.57991	142.57991	0	0	0	0	554202.9	0.052200917	0.5	0
2025-01-01	3306158	63.174857	14.697875	True	RestStop	5761.6963	5761.6963	0	0	0	0	21779812	0.054856632	0.44647866	0
2025-01-01	3846254	65.089753	17.105955	True	Depot	839.75555	839.75555	0	0	0	0	3264099	0.048858177	0.5	0
2025-01-01	3369036	60.732429	14.993724	True	Depot	54.03159	54.03159	0	0	0	0	130501.12	0.08556413	0.5	0
2025-01-01	3225101	62.033527	14.341572	True	Depot	87.95905	87.95905	0	0	0	0	263222.34	0.066604584	0.5	0
2025-01-01	2819958	59.17748	12.556092	True	Depot	89.526	89.526	0	0	0	0	100513.11	0.10917396	0.5	0
2025-01-01	3261139	62.793984	14.481631	True	Depot	939.07635	939.07635	0	0	0	0	3650155.8	0.048785865	0.5	0
2025-01-01	3989974	59.481245	17.743107	True	Depot	94.647224	94.647224	0	0	0	0	367890.28	0.054240018	0.5	0
2025-01-01	2756950	59.019264	12.277866	True	Depot	94.10846	94.10846	0	0	0	0	365796.2	0.054274738	0.5	0
2025-01-01	2990813	56.2785	13.284063	True	Depot	84.104805	84.104805	0	0	0	0	65741.766	0.110000625	0.5	0
2025-01-01	2756916	58.334051	12.243983	True	Destination	325.51785	325.51785	0	0	0	0	13891.781	0.18936495	0.6831264	0
2025-01-01	2856092	61.851758	12.710507	True	Depot	81.95854	81.95854	0	0	0	0	5162.982	0.110358134	0.50000006	0
2025-01-01	3116858	57.170526	13.840574	True	Depot	175.04985	175.04985	0	0	0	0	680412.25	0.05145407	0.5	0
2025-01-01	3269813	56.279071	14.526253	True	Depot	166.34451	166.34451	0	0	0	0	646574.94	0.0516257	0.5	0
2025-01-01	3386927	58.551239	15.064455	True	Depot	3686.9998	3686.9998	0	0	0	0	14331236	0.04833024	0.5	0
2025-01-01	3746968	59.373869	16.674358	True	Destination	411.17062	411.17062	0	0	0	0	77579.29	0.18852654	0.043143786	0
