station_latitude	station_longitude
63.29174544	18.70377889
62.38699794	17.32253444
65.9089583	22.6566338
57.63360664	14.68014493
57.75158001	13.95934705
57.75155076	13.95910358
57.63212138	18.27712792
58.33896824	12.24007548
58.33905793	12.24011997
57.903185	13.860635
57.91011333	13.86904367
63.63824917	19.91182683
58.05089671	12.81551985
58.0506721	12.8153608
59.63747279	17.92627807
59.36602583	16.682544
57.671143	12.29874384
57.67790194	12.30322814
57.67935496	12.31124411
56.71871433	12.89387717
55.54090774	13.0684978
59.62148308	17.39129541
59.62136515	17.39097641
56.9026768	12.4747713
58.98200671	15.89595843
58.62129138	16.23025446
59.58937056	16.24495938
59.62078023	17.88095958
59.61553299	17.87971926
61.9291792	17.21678199
56.89494542	14.76833426
56.8879289	14.7716791
59.11668883	14.37600833
55.53682127	13.36886683
59.87682185	17.59527463
59.87753142	17.59331004
57.45035683	14.08443174
58.63286689	13.42714511
56.24815813	12.89374395
56.24691092	12.89450236
56.24823357	12.90797364
56.28473181	13.33896746
57.97471788	15.62132738
60.64886313	17.11895688
57.65285355	15.85660818
56.56192941	13.7234069
56.61569096	13.76139098
57.22635422	12.17263067
57.23084483	12.17648592
65.7406884	22.166482
59.08681433	17.55379156
59.08799319	17.60264106
59.098338	17.58068743
59.35128	15.66534483
59.39845937	15.7142695
57.50681817	15.83953201
56.12935218	13.39711295
56.13004247	13.39745326
58.32821712	13.13180971
58.32820689	13.13189373
63.31720238	19.01282575
56.28933765	13.30245873
59.35346218	17.05325455
58.879112	14.8969768
56.38275651	12.78454932
59.36238565	14.02759355
59.31532595	15.43703365
58.17037867	13.93838542
57.67169788	14.69394375
58.34368462	11.91163041
58.34903082	11.91777419
56.16643328	14.86112426
60.3931476	16.9780238
59.60738373	15.192906
58.86209769	14.2195355
59.48145084	11.69541395
59.481155	11.66172475
59.48778507	11.74748444
56.20606627	13.10681588
59.1262146	15.27015207
59.65097295	12.61815535
62.16903167	17.35609
59.50060945	15.9888985
59.50667125	17.89879825
59.51584601	17.92647056
59.52620717	17.62748983
59.52640855	17.62737616
59.51593365	17.62593979
58.5599285	12.359346
59.51221785	15.94543909
56.99208129	13.22281901
62.54010571	17.56224471
58.5982925	16.14731525
59.00519551	16.23338226
57.15884293	13.41512443
59.48243117	15.32252617
56.04371317	14.48479266
56.04343394	14.4855279
58.39418372	11.7568624
59.57785667	17.48939889
59.0169472	12.2809118
