	place_id	latitude	longitude	name
89	748300	58.998744068388376	16.29238058710667	Zone:Katrineholm
90	748400	59.35719642974565	16.438087618683827	Zone:Eskilstuna
91	748402	59.34426178515047	16.486249213835055	Road:Eskilstuna-2
92	748403	59.38151611864087	16.594382867359162	Road:Eskilstuna-3
93	748404	59.399064627279	16.42858929565297	Road:Eskilstuna-4
94	748411	59.37580138195058	16.49444042930535	Rail:Eskilstuna
95	748600	59.298766830261336	17.068908614337396	Zone:Strangnas
96	748800	58.91669508287127	17.506319206215043	Zone:Trosa
97	750900	58.19232397598472	14.706761997072366	Zone:Odeshog
98	751200	57.78496348915618	15.337857214384359	Zone:Ydre
99	751300	57.96090795548027	15.788369004988432	Zone:Kinda
100	756000	58.15577335263316	15.125738558305017	Zone:Boxholm
